CS(=O)(=O)Cl.OCCCBr	CS(=O)(=O)OCCCBr
CC(=O)CBr.C[C@H](N)CO	CC(=O)CN[C@@H](C)CO
COc1cccc(C(=O)O)c1F	COc1cccc(CO)c1F
BrCCOCCBr.C[C@H](N)CO	C[C@@H](CO)N1CCOCC1
O=C(O)c1cc(Br)c(Br)o1	O=C(O)c1cc(Br)co1
O=C([O-])CCCCC(=O)O	O=C(O)CCCCC(=O)O
CN(C)C(=O)C1CC(=O)C1	CN(C)CC1CC(O)C1
NC1CCC(C(=O)O)CC1	NC1CCC(CO)CC1
N.O=C1CCC2(CC1)OCCO2	NC1CCC2(CC1)OCCO2
Brc1ccncc1.CN(C)C=O	O=Cc1cnccc1Br
Clc1ccncc1.O=C1COC1	OC1(c2cnccc2Cl)COC1
CC1CCCC(CCC(=O)O)C1	CC1CCCC(CCCO)C1
NC12CCC(F)(CC1)CC2	NC12CCC(F)(CC1)CC2
NC12CCC(CC1)CC2	NC12CCC(CC1)CC2
CI.OCc1ccc(Br)cc1F	COCc1ccc(Br)cc1F
CCc1cncc2ccc(OC)cc12	CCc1cncc2ccc(O)cc12
CN(C)C=O.Fc1cccnc1	O=Cc1ncccc1F
CI.Cc1ccc(O)cn1	COc1ccc(C)nc1
COc1cc[n+]([O-])c(C)c1	COc1ccnc(C)c1
C1CO1.CCc1cccs1	CCc1ccc(CCO)s1
C1CO1.Cc1ccsc1	Cc1csc(CCO)c1
BrBr.O=C1CCCC(=O)C1	O=C1CCCC(=O)C1Br
CN(C)C=O.Cc1ccsc1Br	Cc1cc(C=O)sc1Br
COC(=O)c1cncc(C)c1	COC(=O)C1CNCC(C)C1
NCCO.O=Cc1ccc(F)cc1F	OCCNCc1ccc(F)cc1F
O=C1CNc2ccc(F)cc2N1	Oc1cnc2ccc(F)cc2n1
BrCCBr.Sc1cccs1	BrCCSc1cccs1
CNCCOC.Nc1nc(CCl)cs1	COCCN(C)Cc1csc(N)n1
CN.Cc1nccnc1Cl	CNc1nccnc1C
O=[N+]([O-])c1cccc(O)c1	O=[N+]([O-])c1ccccc1
O=C1NCC2c3ccccc3CC12	c1ccc2c(c1)CC1CNCC21
CCOC(=O)C1CC1C=O	CCOC(=O)C1CC1CO
NC(=O)c1ccc2ccccc2c1	NCc1ccc2ccccc2c1
COc1cccc([C@@H](C)N)c1	C[C@@H](N)c1cccc(O)c1
O=Cc1cc(O)c(F)cc1Br	OCc1cc(O)c(F)cc1Br
Clc1cccnc1Cl.II	Clc1nccc(I)c1Cl
Clc1nccc(I)c1Cl.NN	NNc1nccc(I)c1Cl
Clc1ccnc(Cl)c1.II	Clc1ccnc(Cl)c1I
Clc1ccnc(Cl)c1I.NN	NNc1nccc(Cl)c1I
CCCCCCCCC(=O)O	CCCCCCCCC=O
O=C(O)CCCCC(=O)O	O=CCCCCC(=O)O
CCCCC=O.O=CC(=O)O	CCCC1=CC(=O)OC1O
CC(=O)Cl.OCC1CCCN1	CC(=O)N1CCCC1CO
Nc1ccnc(N)n1.O=CCCl	Nc1ccn2ccnc2n1
N#CCC(=O)c1ccccc1.NO	Nc1cc(-c2ccccc2)on1
CC=O.Fc1ccc(Br)nc1	CC(O)c1cc(Br)ncc1F
ClCCBr.N#CCc1cccs1	N#CC1(c2cccs2)CC1
O=Cc1ccc(B(O)O)s1	OCc1ccc(B(O)O)s1
N[C@@H]1C[C@H]1c1ccccc1	N[C@@H]1C[C@H]1c1ccccc1
Oc1ccc(Cl)c(F)c1.[I-]	Oc1cc(F)c(Cl)cc1I
O=C(O)Cc1csc2ccccc12	OCCc1csc2ccccc12
O=Cc1c(Br)cc(F)cc1Br	OCc1c(Br)cc(F)cc1Br
O=C(O)CCCCCCCCCBr.[I-]	O=C(O)CCCCCCCCCI
N#Cc1ccc(C=O)cn1	N#Cc1ccc(CO)cn1
OC1COc2c(F)cccc21	Fc1cccc2ccoc12
O=C1NC(=O)C2CCCCC12	C1CCC2CNCC2C1
COC(=O)c1csc(Br)n1.N	NC(=O)c1csc(Br)n1
C#Cc1csc(C(OC)OC)c1	CCc1csc(C(OC)OC)c1
CCI.Oc1ccc(Br)nc1	CCOc1ccc(Br)nc1
N#Cc1ccccc1N.[I-]	N#Cc1cc(I)ccc1N
CI.O=c1cc(I)cc[nH]1	Cn1ccc(I)cc1=O
C=COCC.CCOC(C)=O	COCC(C)OC(C)=O
Cc1cc(Br)ncc1Br.[I-]	Cc1cc(I)ncc1Br
COC=Cc1cccnc1Br	O=CCc1cccnc1Br
O=C(Cl)CSCCc1ccccc1	O=C1CSCCc2ccccc21
Cc1cc(N)ccc1F.II	Cc1cc(N)c(I)cc1F
Brc1nccs1.OCCNCCO	OCCN(CCO)c1nccs1
CCP(=O)(O)CCC#N.OCCO	CCP(=O)(CCC#N)OCCO
CCP(=O)(O)CCC(=O)[O-]	CCP(=O)(O)CCC(=O)O
CCP(=O)(O)CCO.[OH-]	CCP(=O)(O)CC(=O)O
O=C(O)c1ccccc1C(=O)O	O=C1OC(=O)c2ccccc21
O=C(O)c1ccccc1C(=O)O	O=C1OC(=O)c2ccccc21
O=C1CCc2cc(Br)ccc21	OC1CCc2cc(Br)ccc21
Br.Cc1cc(F)cc(Br)c1N	Cc1cc(F)cc(Br)c1Br
N#CC1CC2C=CC1C2	NCC1CC2C=CC1C2
CCCCCCCCCC(=O)O.CNOC	CCCCCCCCCC(=O)N(C)OC
C[O-].Clc1cc(Cl)ncn1	COc1cc(Cl)ncn1
C#CCO.COCCOCCBr	C#CCOCCOCCOC
CC(C)(C)[O-].OCCOCCO	C#CCOCCOCCO
COc1cccc(C=O)c1F.NO	COc1cccc(C=NO)c1F
BrBr.Cc1cc(N)cc(C)n1	Cc1cc(N)c(Br)c(C)n1
BrBr.N#Cc1ccc(N)cn1	N#Cc1ccc(N)c(Br)n1
Cc1ccc(F)cc1N.O=N[O-]	Cc1ccc(F)cc1O
Cc1ccc(N)c(F)c1.II	Cc1cc(F)c(N)c(I)c1
CNOC.O=C(O)Cc1ccsc1	CON(C)C(=O)Cc1ccsc1
COCCl.Oc1ccc(Br)cc1	COCOc1ccc(Br)cc1
CNOC.O=C(O)c1cccs1	CON(C)C(=O)c1cccs1
[NH3+]CCOCCOCCCCCCCl	NCCOCCOCCCCCCCl
CNOC.O=C(O)c1ccccc1	CON(C)C(=O)c1ccccc1
COC(=O)C1CC(Cl)=NN1C	COC(=O)c1cc(Cl)nn1C
COC(=O)c1cc(Cl)nn1C	Cn1nc(Cl)cc1C(=O)O
CCN(CC)C1CCNCC1	CCN(CC)C1CCNCC1
CCI.O=Cc1cc(O)ccc1Br	CCOc1ccc(Br)c(C=O)c1
COC(=O)C1CO1.O=C=O	COC(=O)C1COC(=O)O1
COC(=O)C1CO1.O=C=O	COC(=O)C1COC(=O)O1
COC(=O)C1CO1.O=C=O	COC(=O)C1COC(=O)O1
CCCCCCCCO.NC(N)=O	CCCCCCCCOC(N)=O
C=C(C)C.OCc1ccccc1O	CC(C)(C)Oc1ccccc1CO
CSc1ccccc1Nc1ccccc1	Sc1ccccc1Nc1ccccc1
COc1ccccc1Nc1ccccc1	Oc1ccccc1Nc1ccccc1
Oc1ccccc1Nc1ccccc1	c1ccc2ocnc2c1
II.Oc1cncc(Cl)c1	Oc1cc(Cl)cnc1I
CNC.COC(=O)/C=C/CBr	COC(=O)/C=C/CN(C)C
CC(C)(C)c1ccccc1N.II	CC(C)(C)c1cc(I)ccc1N
Brc1ccccn1.Nc1cccnc1	c1ccc(Nc2cccnc2)nc1
C1CNCCN1.Clc1cccnc1Cl	Clc1cccnc1N1CCNCC1
Nc1ccon1.O=C(Cl)CCl	O=C(CCl)Nc1ccon1
CNC(=O)c1cc(Cl)ccn1	CNC(=O)c1cc(Cl)ccn1
CC(C)O.Fc1ccc(Br)cn1	CC(C)Oc1ccc(Br)cn1
CC(C)I.Oc1ccc(F)nc1	CC(C)Oc1ccc(F)nc1
OB(O)c1cccc(CBr)c1	OB(O)c1ccccc1
C#CCOC(=O)NCCCC.II	CCCCNC(=O)OCC#CI
C#CCOC(=O)NCCCC.[I-]	CCCCNC(=O)OCC#CI
CC(=O)c1ccc(Cl)cc1Br	CC(O)c1ccc(Cl)cc1Br
COc1ccncc1N.S=C(Cl)Cl	COc1ccncc1N=C=S
CNc1ccncc1[N+](=O)[O-]	CNc1ccncc1N
N.N#Cc1c(Cl)ncnc1Cl	N#Cc1c(N)ncnc1Cl
COc1ccc(O)cc1	COC1CCC(O)CC1
CN.COC(=O)CC(C)=O	CNC(C)=CC(=O)OC
O=C(CCl)NCCc1ccccc1	CC(=O)NCCc1ccccc1
Cc1ccc(F)c(O)c1.[Br-]	Cc1cc(O)c(F)cc1Br
CN(C)C(=N)N=C(N)N	CN(C)C(=N)NC(=N)N
N#C[S-].Nc1ccccc1Cl	NC(=S)Nc1ccccc1Cl
Nc1nc2c(Cl)cccc2s1	Nc1c(S)cccc1Cl
COc1ccccc1O.ClCCCl	COc1ccccc1OCCCl
COC(=O)Cc1ccccc1OC	COc1ccccc1CCO
CC#N.COCCC(=O)OC	COCCC(=O)CC#N
COC(=O)c1ccc2ccoc2c1	O=Cc1ccc2ccoc2c1
COC(=O)c1ccn2ccnc2c1	OCc1ccn2ccnc2c1
COC(=O)c1ccc2scnc2c1	OCc1ccc2scnc2c1
CCN.O=Cc1ccc(Cl)cc1	CCNCc1ccc(Cl)cc1
NCCO.O=Cc1ccc(Cl)cc1	OCCNCc1ccc(Cl)cc1
Cc1ccccc1O.N#C[S-]	Cc1cc(SC#N)ccc1O
CC(=O)c1ccc(Cl)s1.NO	C/C(=N\O)c1ccc(Cl)s1
CO.O=C(O)[C@@H]1CCCCN1	COC(=O)[C@@H]1CCCCN1
COc1cc(C(=O)O)ccc1Cl	COc1cc(CO)ccc1Cl
N#CCc1ccc2ccccc2c1	NCCc1ccc2ccccc2c1
C=COc1ccc(Br)cc1.ClCI	Brc1ccc(OC2CC2)cc1
CCCCCCc1ccco1.II	CCCCCCc1ccc(I)o1
BrBr.COC(=O)Cc1cccs1	COC(=O)Cc1cc(Br)cs1
COCCOCCBr.[N-]=[N+]=[N-]	COCCOCCN=[N+]=[N-]
COc1ccc(Br)c(C#N)c1	COc1ccc(Br)c(CN)c1
COc1cc(Br)cc(C#N)c1	COc1cc(Br)cc(CN)c1
O=Cc1ccc(C2CC2)cc1	OCc1ccc(C2CC2)cc1
C=CC(=O)Cl.CN1CCNCC1	C=CC(=O)N1CCN(C)CC1
BrBr.O=C1CCCc2sccc21	O=C1CCCc2sc(Br)cc21
O=C(O)CCCCc1cccs1	O=C1CCCCc2sccc21
BrBr.O=C1CCCCc2sccc21	O=C1CCCCc2sc(Br)cc21
Nc1ccccn1.O=C(CCl)CCl	ClCc1cn2ccccc2n1
Cc1cnc(C)c(Cl)n1.N	Cc1cnc(C)c(N)n1
Nc1cccnc1N.OCC(O)CO	Nc1nccc2cccnc12
CCC(=O)C(=O)O.CCO	CCOC(=O)C(=O)CC
C=C(CC(=O)OC)C(=O)O	COC(=O)CC(C)C(=O)O
CN1CCOCC1.Nc1ccn[nH]1	CC(=O)Nc1ccn[nH]1
O=C1C=CC2(CCOCC2)CC1	O=C1CCC2(CCOCC2)CC1
CCI.Oc1ccc2[nH]ncc2c1	CCOc1ccc2[nH]ncc2c1
CC=O.O=Cc1ccccc1	O=C/C=C/c1ccccc1
COc1cc(N)cc(OC)c1	COc1cc(N)cc(O)c1
C[S-].O=Cc1ccc(F)cc1F	CSc1cc(F)ccc1C=O
O=C1CSc2ncc(Cl)cc2N1	Clc1cnc2c(c1)NCCS2
C[S-].Cc1ccc(F)c(Br)c1	CSc1ccc(C)cc1Br
Br.O=C1CCCCCCCCCCCO1	O=C(O)CCCCCCCCCCCBr
CCCCCCCCBr.[N-]=[N+]=[N-]	CCCCCCCCN=[N+]=[N-]
Cc1ccc(C(N)=O)cc1I	Cc1ccc(C#N)cc1I
N#CCc1nc(Cl)cc(Cl)n1	N#CCc1ncccn1
COC(=O)OC.Cc1cccnn1	COC(=O)Cc1cccnn1
O=C1CCCCN1.[Li]CCCC	C=CCC1CCCNC1=O
CC1(CNC(=O)CCl)CCCN1	CC12CCCN1CC(=O)NC2
CCOC(=O)CNC(C)(C)CN	CC1(C)CNC(=O)CN1
O=C1CCCCCN1.[Li]CCCC	CC1CCCCNC1=O
C#CCCBr.C1CCNCC1	C#CCCN1CCCCC1
C[O+](C)C.O=C1CCCCCN1	COC1=NCCCCC1
CC1CCC(=O)CC1.NO	CC1CCC(=NO)CC1
ClCCl.O=C1CCOCCN1	COC1=NCCOCC1
CC(=O)c1ccccc1N	CC(O)c1ccccc1N
CN(C)CCO.Clc1cccnc1	O=Cc1ncccc1Cl
NO.O=CCc1ccccc1	ON=CCc1ccccc1
CO[C@H](CC(=O)O)C(=O)O	CO[C@@H]1CC(=O)OC1=O
Fc1ccc(Cl)nc1.II	Fc1cnc(Cl)cc1I
O=Cc1cnc2ccccc2c1	OCc1cnc2ccccc2c1
Cc1ccc2cc(C=O)ccc2n1	Cc1ccc2cc(CO)ccc2n1
CCBr.Nc1ccc(O)c(F)c1	CCOc1ccc(N)cc1F
C#CCN.O=C1NC(=S)CS1	C#CCNC1=NC(=O)SC1
CCOCCN.O=C1NC(=S)CS1	CCOCCNC1=NC(=O)SC1
C#CCCN.O=C1NC(=S)CS1	C#CCCNC1=NC(=O)SC1
C#CCN.O=C1NC(=S)CO1	C#CCNC1=NC(=O)OC1
C#CCNC1=NC(=O)SC1	O=C1SCC2=NC=CCN12
NCCCO.O=C1NC(=S)CS1	O=C1N=C(NCCCO)CS1
NCCO.O=C1NC(=S)CS1	O=C1N=C(NCCO)CS1
O=C1N=C(NCCO)CS1	O=C1SCC2=NCCN12
O=C1N=C(NCCCO)CS1	O=C1SCC2=NCCCN12
CCN.O=C1NC(=S)CS1	CCNC1=NC(=O)SC1
CCCN.O=C1NC(=S)CS1	CCCNC1=NC(=O)SC1
O=C(O)Cc1cccc(Cl)c1	OCCc1cccc(Cl)c1
O=Cc1ccc(CO)o1.O=O	O=Cc1ccc(C(=O)O)o1
C=CCCl.CCCCOP([O-])CC	CC=CP(=O)(CC)OCCCC
C=CCCl.CCCCOP([O-])CC	CC=CP(=O)(CC)OCCCC
N#CCc1ccccc1.[OH-]	NC(=O)Cc1ccccc1
CC(=O)Cl.OCc1ccsc1	CC(=O)OCc1ccsc1
CCc1ccccn1.Fc1ccccn1	CC(c1ccccn1)c1ccccn1
CNC.OCCCCCCCCCCCCBr	CN(C)CCCCCCCCCCCCO
O=C(O)c1cncc(Br)c1	OCc1cncc(Br)c1
CCBr.Fc1ccc2cc[nH]c2n1	CCn1ccc2ccc(F)nc21
COc1nc(Cl)ncc1Br.[I-]	COc1nc(I)ncc1Br
O=Cc1ccncc1Br.[Li]CCCC	C=Cc1ccncc1Br
CC(C)(O)c1cncc(Br)c1	C=C(C)c1cncc(Br)c1
CI.Cc1cccc2[nH]ccc12	Cc1cccc2c1ccn2C
CI.COc1cccc2[nH]ccc12	COc1cccc2c1ccn2C
Nc1cccnc1C(=O)O	Nc1cccnc1CO
Nc1cnccc1C(=O)O	Nc1cnccc1CO
Fc1ccc(Br)nc1.NN	NNc1ccc(Br)nc1
Fc1cc(Br)ccn1.NN	NNc1cc(Br)ccn1
Fc1ccc(Cl)nc1.NN	NNc1ccc(F)cn1
CC(C)C(N)(CO)C(=O)O	CC(C)C(N)(CO)CO
CCOC(=O)CCl.CC[O-]	CCOC(=O)C(Cl)C=O
NC(CC(F)(F)F)C(=O)O	NC(CO)CC(F)(F)F
OC[C@H](O)c1cccc(Cl)c1	Clc1cccc([C@@H]2CO2)c1
CC1CO1.Cc1ncc[nH]1	Cc1nccn1CC(C)O
CCOC(=O)c1sc(C)nc1CS	Cc1nc(CS)c(C=O)s1
Cc1nc(CS)c(C=O)s1	Cc1nc2cscc2s1
CCOC(=O)c1oc(C)nc1CS	Cc1nc(CS)c(C=O)o1
Cc1nc(CS)c(C=O)o1	Cc1nc2cscc2o1
Fc1ccncc1F.O=C=O	O=Cc1nccc(F)c1F
Cc1ccnc(C=O)c1F	Cc1ccnc(CO)c1F
O=Cc1nccc(F)c1F	OCc1nccc(F)c1F
O=Cc1c(F)cncc1F	OCc1c(F)cncc1F
O=C(O)c1ncc(F)cc1F	OCc1ncc(F)cc1F
BrBr.CCOC(=O)/C=C/CO	CCOC(=O)/C=C/CBr
CCO.CCc1ccccc1	CCc1ccccc1CC
Cc1cc(C#N)ccc1F.NN	Cc1cc(C#N)ccc1NN
C=C(C)C(O)C1CCCCC1	C=CC(=O)C1CCCCC1
COC(=O)[C@@H]1CCCN1	COC(=O)[C@@H]1CCCN1
COC(=O)[C@@H]1CCCN1	COC(=O)C1=CCCN1
Cc1cc(Br)ccc1C(=O)O	Cc1cc(Br)ccc1CO
C#CCCCc1ncc(Cl)cn1	Clc1cnc2c(c1)CCC2
CNC.O=Cc1ccc(Cl)nc1Cl	CN(C)c1nc(Cl)ccc1C=O
O=C(O)c1ccc(I)cc1Cl	OCc1ccc(I)cc1Cl
O=C(O)CCCCC1CCSS1	O=C(O)CCCCC(S)CCS
C1CCOC1.CC(C)C(=O)O	O=C(O)c1ccccc1
CCI.Oc1ccc(Br)cn1	CCn1cc(Br)ccc1=O
CCOC(=O)C(C)=C1COC1	CCOC(=O)C(C)C1COC1
CN(C)C=O.Clc1cccnc1Cl	O=Cc1ccnc(Cl)c1Cl
CCCCCCCCBr.c1cc[cH-]c1	CCCCCCCCC1=CC=CC1
C=C(CC(=O)OC)C(=O)OC	COC(=O)CC(C)C(=O)OC
OCCCc1c(O)cccc1Cl	Clc1cccc2c1CCCO2
Clc1cccc2c1CCCO2.II	Clc1cccc2c1C(I)CCO2
COCCO.CS(=O)(=O)Cl	COCCOS(C)(=O)=O
CC(=O)SCCc1ccc(F)cc1	Fc1ccc(CCS)cc1
N#CCN.O=C(O)c1ccncc1	N#CCNC(=O)c1ccncc1
C[O-].Nc1ccc(Br)cc1Cl	COc1ccc(N)c(Cl)c1
C=CC(=O)OC.Ic1ccccc1	COC(=O)C=Cc1ccccc1
Cc1ccc(Br)cc1C(=O)O	Cc1ccc(Br)cc1CO
Clc1ccc(Cl)nc1.II	Clc1cc(I)c(Cl)cn1
NC1CC1.O=Cc1ccccc1Br	Brc1ccccc1CNC1CC1
Brc1ccccc1CNC1CC1.CI	Brc1ccccc1CNCC1CC1
CI.Nc1ccc(F)c(CO)c1	COCc1cc(N)ccc1F
C=CC(C)=O.O=CC1CCCC1	O=C1C=CC2(CCCC2)CC1
O=C1CCCC2(CCCC2)C1	OC1CCCC2(CCCC2)C1
O=C(O)C1CCCCCC1	OCC1CCCCCC1
COc1ccc(C=O)c(F)c1Br	COc1ccc(CO)c(F)c1Br
COc1ccc(CC#N)cc1.[Br-]	COc1ccc(CC#N)cc1Br
COc1ccc(CBr)cc1.[Br-]	COc1ccc(CBr)cc1Br
CI.OCC1CC=CCC1	COCC1CC=CCC1
CCCN.O=C(O)C1CC=CCC1	CCCNC(=O)C1CC=CCC1
Nc1cc(Cl)ccn1.O=CCCl	Clc1ccn2ccnc2c1
Br.Nc1nnc(C2CCCO2)s1	Brc1nnc(C2CCCO2)s1
O=C(O)Cc1ccc(Cl)nc1	OCCc1ccc(Cl)nc1
COc1cnc(Cl)nc1Cl.N	COc1cnc(Cl)nc1N
Clc1ncc(Cl)c(Cl)n1.N	Nc1nc(Cl)ncc1Cl
NC(=O)c1ccn2ccnc2c1	N#Cc1ccn2ccnc2c1
CCC(=O)CC(=O)OC.N=CN	CCc1cc(O)ncn1
C=C(OCC)c1cc(Cl)ncn1	CC(=O)c1cc(Cl)ncn1
CC(=O)c1cc(Cl)ncn1	CC(O)c1cc(Cl)ncn1
O=C(OCCl)c1ccccc1.[I-]	O=C(OCI)c1ccccc1
CCc1[nH]cnc(=O)c1F.Cl	CCc1ncnc(Cl)c1F
CC(=O)c1ncnc(Cl)c1C	Cc1c(Cl)ncnc1C(C)O
CI.COCC(=O)CC(=O)OC	COCC(=O)C(C)C(=O)OC
COCc1ncnc(Cl)c1C	Cc1c(Cl)ncnc1CO
O=Cc1c(I)ccnc1F	OCc1c(I)ccnc1F
BrBr.Nc1nc(Cl)cc(Cl)n1	Nc1nc(Cl)c(Br)c(Cl)n1
O=Cc1ccncc1Cl	OCc1ccncc1Cl
O=S(Cl)Cl.OCc1ccncc1F	Fc1cnccc1CCl
N.O=C(O)c1sccc1Br	NC(=O)c1sccc1Br
Brc1csc(Br)n1.O=C=O	O=C(O)c1sc(Br)nc1Br
COC(=O)c1ccc(N)nc1	Nc1ccc(CO)cn1
O=C(CCCl)c1ccc(Cl)cc1	C=CC(=O)c1ccc(Cl)cc1
C[O-].Nc1cc(Cl)ccn1	COc1ccnc(N)c1
O=C(CBr)c1ccc(Cl)nc1	Clc1ccc(C2CO2)cn1
O=C(CCl)c1ccc(Br)cc1F	Fc1cc(Br)ccc1C1CO1
CN1CCCCC1=O.COCCN	COCCNC1CCN(C)CC1
OCCc1ccc(O)cc1	OCCC1CCC(O)CC1
Brc1cccnc1Br.CC#N	N#CCc1ncccc1Br
BrCc1cccc(Br)c1.CCN	CCNCc1cccc(Br)c1
CN.COc1cccc(C=O)c1	CNCc1ccccc1
Nc1ccc(Br)cc1C(=O)O	Nc1ccc(Br)cc1CO
N#Cc1cccnc1N.O=CCCl	N#Cc1cccn2ccnc12
CCOC(=O)C(C)(C)C#N	CCOC(=O)C(C)(C)CN
CCN.N#Cc1cccc(CBr)c1	CCNCc1cccc(C#N)c1
Cc1cc(Br)ccc1C(=O)O	Cc1cc(Br)ccc1CO
N#CCc1ccccc1C#N.[Li]C	Cc1nc(N)cc2ccccc12
CS.N#Cc1ccccc1Cl	CSc1ccccc1C#N
COC(=O)CCCNC(N)=S.NN	NNC(=O)CCCNC(N)=S
O=C1CCc2cc(Br)ccc21	Brc1ccc2c(c1)CCC2
CCCc1ccc(CO)cc1.[I-]	CCCc1ccc(CI)cc1
CCCCCCCCBr.COC(=O)CN	CCCCCCCCNCC(=O)OC
CCCCC(CCC(C)C)C(C)=O	CCCCC(CCC(C)C)C(C)O
COc1cc(Cl)ccc1B(O)O	OB(O)c1ccc(Cl)cc1O
Cc1ccc(C(=O)CC#N)cc1	Cc1ccc(C=O)cc1
Fc1ccc(-c2nnco2)cc1	NNC(=O)c1ccc(F)cc1
Fc1ccc(I)cc1.c1cscn1	Fc1ccc(-c2cncs2)cc1
Brc1ccc(Br)nc1.C[O-]	COc1ccc(Br)cn1
Fc1ccc(I)cc1.c1cocn1	Fc1ccc(-c2ncco2)cc1
C=CCC1CCC(OCC)=CC1=O	C=CCC1C=CC(=O)CC1
CO.Clc1ncc(Br)cn1	COc1ncc(Br)cn1
CO.C[Mg]Br.N#Cc1ncccn1	CC(=O)c1ncccn1
CC=O.Cc1cccc(N)n1	CCNc1cccc(C)n1
NNC(=O)c1cccnc1.O=CO	NN(C=O)C(=O)c1cccnc1
ClCCN(CCCl)Cc1ccccc1	ClCCN(CCCl)Cc1ccccc1
O=C1CCCCCN1.[OH-]	NCCCCCC(=O)O
NO.O=Cc1ccccc1Cl	ON=Cc1ccccc1Cl
Brc1cccc(Br)n1.CC[O-]	CCOc1cccc(Br)n1
CI.CSCC(O)C(=O)O	COC(CSC)C(=O)O
CCOC(=O)C1(CSC)CC1	CSCC1(C(=O)O)CC1
C[C@](N)(CN)C(F)(F)F	C[C@](N)(CN)C(F)(F)F
N#CBr.NCC1(N)CCCC1	NC1=NCC2(CCCC2)N1
CCN.CCOC(=O)C(=O)OCC	CCNC(=O)C(=O)OCC
COc1c(Cl)cccc1Cl.[OH-]	COc1c(O)cccc1Cl
N#Cc1cncc2[nH]ccc12	NCc1cncc2[nH]ccc12
Nc1cnc(Cl)cc1N.O=CO	Clc1cc2nc[nH]c2cn1
CN.Clc1ncc(Cl)c(Cl)n1	CNc1nc(Cl)ncc1Cl
CN.Clc1ncc(Br)c(Cl)n1	CNc1nc(Cl)ncc1Br
O=C1OCCC1Br.OCCS	O=C1OCCC1SCCO
COC(=O)C1CCOC1OC	COC1OCCC1CO
COc1ccc(CCl)cn1	COc1ccc(CCl)cn1
Nc1nnc(Br)s1.O=CCCl	Brc1nn2ccnc2s1
BrBr.O=CCc1ccccc1	O=CC(Br)c1ccccc1
O=C([O-])c1ccccc1	O=C(O)c1ccccc1
CC(=O)C(=O)O.OCCCl	CC(=O)C(=O)OCCCl
CNC.COc1nc(Cl)ncc1Br	COc1nc(N(C)C)ncc1Br
COc1nc(Cl)ncc1Br.NCCO	COc1nc(NCCO)ncc1Br
CN.COc1nc(Cl)ncc1Br	CNc1ncc(Br)c(OC)n1
C1CCOC1.Cc1cccc(C)n1	CC1CCC(C=O)CC1
CCC(=O)Cl.OCC1CCNCC1	CCC(=O)N1CCC(CO)CC1
O.ON=C1CCCCCCCCCCC1	O=C1CCCCCCCCCCCN1
O=C1CCCCCCCCCCCN1	O=C1CCCCCCCCCCCN1
C1CCCCCC2OC2CCCC1	O=C1CCCCCCCCCCC1
O=C(O)c1cncc(Br)c1	OCc1cncc(Br)c1
O=C(O)c1ccnc(Cl)c1	OCc1ccnc(Cl)c1
COC(=O)C1(C=O)CCCC1	COC(=O)C1(CO)CCCC1
C=CC[Mg]Br.CCCCCCCC=O	C=CCC(O)CCCCCCC
Cc1cc(Br)ccc1C(=O)O	Cc1cc(Br)ccc1CO
CCOC(=O)C(C)=O.NCCO	CC(=O)C(=O)NCCO
CC(C)(C)PC(C)(C)C	CC(C)(C)PC(C)(C)C
C#Cc1ccccc1.O=C=O	O=C(O)C#Cc1ccccc1
BrBr.COc1cc(C=O)ccc1O	COc1cc(C=O)cc(Br)c1O
C1CCOC1.CC(C)(CO)CBr	CC(=O)OCC(C)(C)CBr
CCC1NC(=O)NC1=O.CI	CCC1NC(=O)N(C)C1=O
CC1NC(=O)NC1=O.CI	CC1NC(=O)N(C)C1=O
C=CCC(OCC=O)C1CC1.NO	C=CCC(OCC=NO)C1CC1
CCOC(N)=O.N#CCC(=O)O	CCOC(=O)NC(=O)CC#N
CO.O=C(O)c1ccc(F)cn1	COC(=O)c1ccc(F)cn1
BrBr.CC(=O)c1ccc(C)s1	CC(=O)c1cc(Br)c(C)s1
II.Oc1ccnc2ccccc12	Oc1c(I)cnc2ccccc12
N#CC1(N2CCCCC2)CCC1	NCC1(N2CCCCC2)CCC1
C[C@H](F)CO.Oc1ccncc1	C[C@H](F)COc1ccncc1
C[C@H](F)COc1ccncc1	C[C@H](F)COC1CCNCC1
C[C@H]1CCCN1[C@H]1CCNC1	C1CCN([C@@H]2CCNC2)C1
COc1ccc2c(=O)occc2c1	O=C1OCCc2cc(O)ccc21
O=C1CC(C=C(F)F)CN1	O=C1CC(CC(F)F)CN1
COCC(=O)O.NNC(N)=S	COCc1nnc(N)s1
COC(=O)c1nc(Br)ccc1N	Nc1ccc(Br)nc1C(=O)O
COCCO.Nc1ncc(Br)nc1Br	COCCOc1nc(Br)cnc1N
Cc1cc(SC#N)ccc1O	Cc1cc(S)ccc1O
CN.O=C(O)Cc1ccccc1	CNC(=O)Cc1ccccc1
Cc1cc(SC#N)ccc1O	Cc1cc(S)ccc1O
Cc1cc(SC#N)c(C)cc1O	Cc1cc(S)c(C)cc1O
CCc1ccccc1O.N#C[S-]	CCc1cc(SC#N)ccc1O
CCc1cc(SC#N)ccc1O	CCc1cc(S)ccc1O
CCNCC.O=C(Cl)CCBr	CCN(CC)C(=O)CCBr
COc1ncccc1[N+](=O)[O-]	COc1ncccc1N
COc1nc(Br)ccc1N.Cl	COc1nc(Br)ccc1Cl
COc1nc(Br)ccc1N.[I-]	COc1nc(Br)ccc1I
